title,app_id
Mount & Blade: With Fire & Sword,48720
The Ranch of Rivershine,1559600
Enlisted,2051620
Assetto Corsa - Dream Pack 3,423630
Your Only Move Is HUSTLE,2212330
Keplerth,747200
Pennon and Battle,2915660
SnowRunner - Season 14: Reap & Sow,2709460
Cat God Ranch,2797340
Crusader Kings III: Friends & Foes,2114760
shapez,1318690
Stranded Deep,313120
Absolute Drift,320140
Assetto Corsa - Red Pack,493190
Violent Horror Stories: anthology,3080380
Craftomation 101: Programming & Craft,1724140
Turmoil - Deeper Underground,3106610
Pharaoh™: A New Era,1351080
Gates of Migad,3111890
Disney Speedstorm,1537830
Class of '09: The Re-Up,2318310
Icarus: New Frontiers Expansion,1648532
We Who Are About To Die,973230
Victoria 3: Sphere of Influence,2411231
Sid Meier's Civilization® V,8930
My Time at Portia,666140
HD Poker: Texas Hold'em,797430
Who's Your Daddy?!,427730
Living With Sister: Monochrome Fantasy,2429860
Cell to Singularity - Evolution Never Ends,977400
NGU IDLE,1147690
Phoenix Point - Festering Skies DLC,1357372
IL-2 Sturmovik: Cliffs of Dover Blitz Edition,754530
The Sims™ 4 Get To Work,1235734
Expansion - Hearts of Iron IV: La Résistance,1158100
Kingdoms Reborn,1307890
PC Building Simulator,621060
The Sims™ 3,47890
The Isle,376210
Planet Zoo: Grasslands Animal Pack,2199210
Assetto Corsa - Porsche Pack I,526060
My Recycling Center,2613060
Forza Horizon 5 Universal Icons Car Pack,2997790
Planet Zoo: Wetlands Animal Pack,1934140
Football Manager 2023 In-game Editor,2017220
VTOL VR: EF-24 Mischief - Electronic Warfare,2531290
Country Pack - Hearts of Iron IV: Battle for the Bosporus,1348660
Tabletop Simulator - Zombicide,468726
House Party,611790
House Party - Business and Pleasure Style Pack,2363800
Intravenous 2,2608270
Dungeons 3,493900
Beyond The Wire,1058650
Root: The Underworld Expansion,2253060
Luck be a Landlord,1404850
Root,965580
Planet Zoo: Southeast Asia Animal Pack,1567110
Planet Zoo: Aquatic Pack,1471590
Rival Stars Horse Racing: Desktop Edition,1166860
Planet Zoo: Europe Pack,1726150
Planet Zoo: Arid Animal Pack,2436600
Planet Zoo: Australia Pack,1349400
Age of Mythology: Extended Edition,266840
Chef Life: A Restaurant Simulator,1122340
Blush Blush,777130
Sid Meier’s Civilization® VI,289070
Day of Dragons,1088090
Automobilista 2,1066890
Shardpunk,1183800
Immortal Life,1201230
Tales of Fablecraft,2176900
Mini Airways,2289650
Preserve,2109270
Euro Truck Simulator 2 - Kässbohrer Trailer Pack,3034950
